date_created,date_updated,language,llm_review_translated,recommend_the_game,count_review_liked,count_review_marked_funny,comment_count,steam_purchase,received_for_free,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_last_played,llm_sentiment_label,llm_sentiment_score,llm_10_words_summary,tl_dr,llm_keywords,llm_themes,llm_pros,llm_cons,llm_score,llm_feature_requests,language_detected,quote_highlight,llm_toxicity_score,llm_sarcasm_flag,llm_humor_flag,llm_spam_flag,coherence_score,llm_bug_reported_flag,bug_type,llm_bug_report_text,llm_feature_requested_flag,llm_feature_requested_tag,llm_feature_requested_text,playtime_bucket,reviewer_experience_level,llm_NPS,llm_emotion,llm_review_pertinence_flag,review,recommendation_ID,weighted_vote_score,author_ID
2025-10-30,2025-10-30,french,"Dominos Pizza - Charleroi Edition. While playing, I feel like I'm helping the community of construction workers in a disadvantaged area, combining risk, running, and night work. I usually don't like being chased without my consent, but the fact that we're among friends helps lighten the feeling of anxiety a bit. However, I don't like feet. Stop with the feet (what's your deal with that...). A nice little cool game, which you start like a board game, and honestly, I wish more indie games were like this. Looking forward to the Marseille DLC (I hope Jul and Kad Merad will be playable)!",true,0,0,0,true,false,0,2,316,0,1754602829,positive,0.85,Unique game experience with community and construction themes.,"The game offers a unique blend of community support and fun, despite some personal dislikes, and the reviewer looks forward to future content.","[""Dominos Pizza"", ""Charleroi Edition"", ""community"", ""construction workers"", ""risk"", ""indie games"", ""anxiety"", ""DLC""]","[""Community Engagement"", ""Indie Game Experience"", ""Gameplay Mechanics"", ""Personal Preferences"", ""Future Content Expectations""]","[""Helps the community of construction workers in a disadvantaged area"", ""Combines risk, running, and night work"", ""Playing among friends lightens the feeling of anxiety"", ""Nice little cool game"", ""Starts like a board game"", ""Wishes more indie games were like this"", ""Looking forward to the Marseille DLC""]","[""Dislikes being chased without consent"", ""Dislikes the focus on feet""]","{""gameplay"": 0.7, ""controls"": 0.5, ""performance"": 0.6, ""bugs"": 0.0, ""graphics"": 0.5, ""story"": 0.4, ""sound"": 0.5, ""community"": 0.8}","[""Reduce or eliminate foot-related content"", ""More indie games with a similar style"", ""Playable characters from Marseille DLC, specifically Jul and Kad Merad""]",fr,"A nice little cool game, which you start like a board game, and honestly, I wish more indie games were like this.",0,false,true,false,0.75,false,none,,true,"[""Reduce or eliminate foot-related content"", ""Add more community-focused themes"", ""Introduce playable characters like Jul and Kad Merad in DLC""]","Consider removing foot-related elements to enhance player comfort and focus on community themes. Additionally, incorporating popular local figures as playable characters in future DLC could increase engagement.",none,régulier,promoter,joy,true,"Dominos Pizza - Charleroi Edition 
En jouant, j'ai l'impression d'aider la communauté des travailleurs de chantiers d'une zone défavorisé, en alliant risque, course à pied et travail de nuit. Je n'apprécie d'habitude pas qu'on me coure après sans mon consentement, mais le fait qu'on soit entre potes aide un peu a alléger la sensation d'angoisse. 
Par contre, j'aime pas les pieds. Arrêtez avec les pieds (c'est quoi votre délire là...).
Un bon petit jeu cool, qu'on lance comme on lance une partie de jeu de société, et franchement, j'aimerai que ce soit le cas de plus de petit jeux indés. 
Vivement le DLC Marseille (j'espère que Jul et Kad Merad seront jouables) !",207940174,0.5,76561198111730943
2025-10-30,2025-10-30,english,very fun,true,0,0,0,false,false,0,5,263,263,1761440059,positive,0.9,Very fun game experience.,The game offers a highly enjoyable and entertaining experience.,"[""fun"", ""enjoyable"", ""entertainment"", ""gameplay"", ""experience""]","[""user experience"", ""game enjoyment"", ""entertainment value"", ""player engagement"", ""overall satisfaction""]","[""very fun""]",[],"{""gameplay"": 1.0, ""controls"": 0.0, ""performance"": 0.0, ""bugs"": 0.0}",[],en,very fun,0,false,false,false,0.5,false,none,,true,[],Consider adding more interactive elements or challenges to enhance the fun experience.,none,novice,promoter,joy,false,very fun,207941079,0.5,76561198878551874
2025-10-29,2025-10-29,english,yes,true,0,0,0,true,false,366,26,335,335,1761370924,positive,0.9,Positive sentiment towards the game.,The review expresses a positive sentiment towards the game.,"[""yes""]","[""affirmation"", ""agreement"", ""positivity""]",[],[],"{""gameplay"": 1.0, ""controls"": 1.0, ""performance"": 1.0, ""bugs"": 1.0}",[],en,yes,0,false,false,true,0.1,false,none,,true,[],"Consider implementing a user feedback system to gather specific feature requests directly from users, which can help prioritize future updates.",none,novice,promoter,joy,false,yes,207834304,0.5,76561198115565320
2025-10-29,2025-10-29,english,"Seeing a bunch of people complaining about this game but it's literally like 5 bucks. It's definitely worth it with friends. The game is also still new. Hopefully, it gets new maps and content updates.",true,0,0,0,true,false,0,16,165,165,1761706332,positive,0.85,"Worth it with friends, hoping for more content updates.","Despite some complaints, the game is a great value at $5, especially with friends, and could benefit from future updates.","[""complaints"", ""worth"", ""friends"", ""new"", ""maps"", ""content updates""]","[""value for money"", ""multiplayer experience"", ""game updates"", ""community feedback"", ""game longevity""]","[""Affordable price at around 5 bucks"", ""Fun to play with friends"", ""Still new with potential for future updates""]","[""Some people are complaining about the game""]","{""gameplay"": 0.5, ""controls"": 0.0, ""performance"": 0.0, ""bugs"": 0.0, ""value"": 0.8, ""content"": 0.5}","[""new maps"", ""content updates""]",en,It's definitely worth it with friends.,0,false,false,false,0.9,false,none,,true,"[""new maps"", ""content updates""]",Consider prioritizing the development of new maps and regular content updates to enhance the gaming experience and address player feedback.,none,régulier,promoter,joy,true,Seeing a bunch of people whining bout this game but it's literally like 5 fuckin bucks lmao. Its def worth it with friends. The game is also still new. Hopfully it gets new maps and content updates,207843382,0.5,76561198121265944
2025-10-28,2025-10-28,french,"I loved the game, can't wait to play again! The proximity chat really adds a very tense and funny immersion at the same time. Can't wait to see new monsters.",true,0,0,0,true,false,0,10,73,73,1761675119,positive,0.95,"Loved the game, excited for new monsters and immersion.","The game is enjoyable with great proximity chat, enhancing immersion and excitement for future updates.","[""game"", ""proximity chat"", ""tense"", ""funny"", ""immersion"", ""monsters""]","[""gameplay experience"", ""social interaction"", ""immersion"", ""anticipation"", ""humor""]","[""Loved the game"", ""Exciting to play again"", ""Proximity chat adds tension and humor"", ""Immersive experience"", ""Anticipation for new monsters""]",[],"{""gameplay"": 1.0, ""controls"": 1.0, ""performance"": 1.0, ""bugs"": 1.0, ""immersion"": 1.0, ""content"": 1.0}","[""New monsters""]",fr,The proximity chat really adds a very tense and funny immersion at the same time.,0,false,true,false,1,false,none,,true,"[""new monsters""]",Consider introducing a variety of new monsters to enhance gameplay diversity and keep players engaged.,none,novice,promoter,joy,true,"J'ai adoré la partie, hâte de rejouer !

Le chat de proximité apporte vraiment une immersion très angoissante et rigolote en même temps. Hâte de voir de nouveaux monstres.",207809799,0.5,76561198041279828
2025-10-26,2025-10-28,english,"*Changed review due to updates and QOL changes the dev team has made as of Oct 27/28th, 2025!* I absolutely love the changes that have been made so far! The changes to the Mascot are really good, creates a really good challenge without insta dying, seeing the coffee location on the map is FANTASTIC, The ghost cars still provide a little jump scare and fear of getting hit without it being extremely punishing, monsters no longer camp the cars and umbrellas you are on to get away from them, the balance of the egg spawns have been great (4 or 5 instead of like 10+ on day 2 or 3 is great and am looking forward to the difficulty levels rise with them as we progress). With these changes, the game definitely feels better to play, it still is a challenge that doesn't make the game feel easy or too punishing, and has been a lot more enjoyable to play! There are a few things I would recommend the dev team to look into (I have some clips showing the occurrences and working to get more if they happen again: - Money and items disappearing at random (i.e. putting a pizza at a delivery spot, the hand of the model shows as if it's holding money but money is not visible, nor counts when 'being turned in' and is not anywhere around the delivery spot - Items disappearing when someone DC's from the game (piggybank with over 1k in it at day 12, a friend had DC'd and the piggybank disappeared from the pizza shop when no one was holding it when they DC'd, another friend's internet crashed and the basketball and sausage disappeared; they were not holding either item - Items reset when someone new loads into the game. I started the lobby, I took the basketball and sausage out of the lockers in the beginning and my friend's game took a while to load in and then they magically went back to the lockers and they took them out again and caused a bit of a 'lock' with the basketball where we couldn't pick it up What my Wishlist would be for the game: - a new item added that can be purchased like a mini map and a watch to keep track of time - an upgrade that gives us a general area of where the zombie pods are (like a circle but doesn't give exact locations for them) - Save files! Before the balancing that the devs did, somehow the rng gave us a 'run' where we managed to make it to day 14 before we all died and got fired. If we had made it past that day and decided to call it for the day, I would have loved to continue off that file where we didn't die/get fired and continue. Thank you again Devs for taking feedback into consideration and you transparency! Thank you for the awards as well on my review (pre-review change) <3 Side note no one asked for, please do not only play 0.2 hours and downvote a game. New games need time investment (1 hour total is a great minimum) to understand and figure out certain things in a game unless it's extremely debilitating on your PC or is an accessibility issue.",true,3,0,1,true,false,0,7,1185,1185,1761685211,positive,0.95,"Game improvements enhance enjoyment and challenge, with suggestions.","Recent updates have significantly improved gameplay, making it more enjoyable, though some bugs and feature requests remain.","[""updates"", ""QOL changes"", ""game balance"", ""disappearing items"", ""challenges"", ""feedback"", ""wishlist"", ""transparency""]","[""game development"", ""player experience"", ""community feedback"", ""game mechanics"", ""quality of life improvements""]","[""Recent updates and quality of life changes have improved the game significantly."", ""Changes to the Mascot create a good challenge without instant death."", ""Visibility of coffee locations on the map is fantastic."", ""Ghost cars provide jump scares without being overly punishing."", ""Monsters no longer camp near cars and umbrellas, making gameplay smoother."", ""Balanced egg spawns enhance the game's difficulty progression."", ""Overall gameplay feels better, maintaining a challenging yet enjoyable experience."", ""Developer responsiveness to feedback is appreciated.""]","[""Money and items can disappear randomly during gameplay."", ""Items may vanish when a player disconnects from the game."", ""Items reset when a new player loads into the game, causing confusion."", ""Wishlist includes features like a mini map, time tracking watch, and general area indicators for zombie pods."", ""Desire for save files to continue from previous game states after dying or getting fired.""]","{""gameplay"": 1.0, ""controls"": 1.0, ""performance"": 0.0, ""bugs"": -1.0, ""graphics"": 0.0, ""sound"": 0.0, ""story"": 0.0, ""multiplayer"": 1.0, ""updates"": 1.0, ""difficulty"": 1.0}","[""Fix for money and items disappearing at random"", ""Fix for items disappearing when someone disconnects from the game"", ""Fix for items resetting when someone new loads into the game"", ""Add a new item that can be purchased, like a mini map and a watch to keep track of time"", ""Upgrade that provides a general area of where the zombie pods are"", ""Implement save files to continue from previous game states""]",en,"The game definitely feels better to play, it still is a challenge that doesn't make it feel easy.",0,false,false,false,0.85,true,save,Items disappearing when someone DC's from the game.,true,"[""Fix for disappearing money and items"", ""Prevent item loss on player disconnection"", ""Prevent item reset when new players load in"", ""Mini map and watch item"", ""Upgrade for general zombie pod location"", ""Save files for game progress""]","Addressing the issues with disappearing items and player disconnections should be prioritized to enhance gameplay stability. Additionally, implementing a save file feature would greatly improve player experience by allowing them to continue from previous progress.",1–5h,hardcore,promoter,joy,true,"*Changed review due to updates and QOL changes the dev team has made as of Oct 27/28th, 2025!*

I absolutely love the changes that have been made so far! The changes to the Mascot are really good, creates a really good challenge without insta dying, seeing the coffee location on the map is FANTASTIC, The ghost cars still provide a little jump scare and fear of getting hit without it being extremely punishing, monsters no longer camp the cars and umbrellas you are on to get away from them, the balance of the egg spawns have been great (4 or 5 instead of like 10+ on day 2 or 3 is great and am looking forward to the difficulty levels rise with them as we progress). With these changes, the game definitely feels better to play, it still is a challenge that doesn't make the game feel easy or too punishing, and has been a lot more enjoyable to play!

There are a few things I would recommend the dev team to look into (I have some clips showing the occurrences and working to get more if they happen again:
- Money and items disappearing at random (i.e. putting a pizza at a delivery spot, the hand of the model shows as if it's holding money but money is not visible, nor counts when ""being turned in"" and is not anywhere around the delivery spot
- Items disappearing when someone DC's from the game (piggybank with over 1k in it at day 12 , a friend had DC'd and the piggybank disappeared from the pizza shop when no one was holding it when they DC'd, another friend's internet crashed and the basketball and sausage disappeared; they were not holding either item
- Items reset when someone new loads into the game. I started the lobby, I took the basketball and sausage out of the lockers in the beginning and my friend's game took a while to load in and then they magically went back to the lockers and they took them out again and caused a bit of a ""lock"" with the basketball where we couldn't pick it up

What my Wishlist would be for the game:
- a new item added that can be purchased like a mini map and a watch to keep track of time
- an upgrade that gives us a general area of where the zombie pods are (like a circle but doesn't give exact locations for them)
- Save files! Before the balancing that the devs did, somehow the rng gave us a ""run"" where we managed to make it to day 14 before we all died and got fired. If we had made it past that day and decided to call it for the day, I would have loved to continue off that file where we didn't die/get fired and continue. 

Thank you again Devs for taking feedback into consideration and you transparency!

Thank you for the awards as well on my review (pre-review change) <3

Side note no one asked for, please do not only play 0.2 hours and downvote a game. New games need time investment (1 hour total is a great minimum) to understand and figure out certain things in a game unless it's extremely debilitating on your PC or is an accessibility issue",207598169,0.5,76561199071612538
2025-10-28,2025-10-28,french,"A good evening spent with friends. The game, the map evolves from round to round which provides new challenges. The longer the time passes, the more new mobs with different mechanics appear. Honestly, congratulations on the work, I find it very well balanced and we don't feel bored despite the fact that there is only one map. The monsters are quite well done, we are not on a AAA title obviously.",true,0,0,0,false,false,0,1,133,133,1761689422,positive,0.85,Enjoyable game with evolving challenges and well-designed monsters.,"The game offers evolving challenges and well-designed monsters, making it enjoyable for friends despite having only one map.","[""friends"", ""game"", ""map"", ""challenges"", ""mobs"", ""mechanics"", ""balanced"", ""monsters""]","[""social gaming"", ""game mechanics"", ""level design"", ""game balance"", ""player engagement""]","[""Good for spending time with friends"", ""Map evolves from round to round, providing new challenges"", ""New mobs with different mechanics appear over time"", ""Well balanced gameplay"", ""Engaging despite having only one map"", ""Monsters are well designed""]","[""Not a AAA title""]","{""gameplay"": 1.0, ""controls"": 1.0, ""performance"": 1.0, ""bugs"": 1.0, ""graphics"": 0.0, ""content"": 0.0, ""balance"": 1.0, ""fun"": 1.0}",[],fr,"A good evening spent with friends. The game evolves from round to round, providing new challenges.",0,false,false,false,0.9,false,none,,true,"[""Additional maps"", ""More diverse monster mechanics"", ""Dynamic events or challenges""]","Consider adding more maps to enhance variety and keep gameplay fresh. Additionally, introducing dynamic events could further engage players and provide new challenges.",none,régulier,promoter,joy,true,"Une bonne soirée passée entre potes. Le jeu, la map évolue de manches en manches ce qui donne de nouveaux défis. Plus le temps passe plus il y a de nouveaux mobs avec des mécaniques différentes. Honnêtement bravo pour le taff, je trouve que c'est très bien équilibré et on ne ressent pas l'ennui malgré le fait qu'il y a qu'une seule map. Les monstres sont plutôt bien fait, on est pas sur un AAA évidement.",207827644,0.5,76561198389843135
2025-10-28,2025-10-28,french,"We had a very funny evening with friends. The difficulty increases and we laughed a lot! I really like the graphics, it works very well and is still a bit scary (too much for me but I have a very low tolerance for fear). The game is quite intuitive.",true,0,0,0,false,true,0,1,152,152,1761688998,positive,0.9,"Funny game with friends, great graphics, intuitive gameplay.",A fun and intuitive game with great graphics that provides laughs and a bit of scare.,"[""funny"", ""difficulty"", ""graphics"", ""scary"", ""intuitive"", ""friends"", ""laughter""]","[""social experience"", ""gameplay mechanics"", ""visual design"", ""emotional response"", ""user-friendliness""]","[""Very funny evening with friends"", ""Increased difficulty adds to the fun"", ""Good graphics"", ""Works very well"", ""Slightly scary atmosphere"", ""Intuitive gameplay""]","[""Too scary for some players with low tolerance for fear""]","{""gameplay"": 1.0, ""controls"": 1.0, ""performance"": 1.0, ""bugs"": 1.0, ""graphics"": 1.0, ""difficulty"": 1.0, ""fun_factor"": 1.0, ""intuitiveness"": 1.0}",[],fr,We had a very funny evening with friends and laughed a lot!,0,false,true,false,0.9,false,none,,true,"[""Adjustable difficulty levels"", ""Fear intensity settings"", ""Enhanced graphics options""]","Consider adding adjustable difficulty levels and fear intensity settings to cater to different player preferences, enhancing the overall gaming experience.",none,régulier,promoter,joy,true,"Nous avons passé une soirée entre amis très drôle. La difficulté s'accentue et on a bien ri ! J'aime beaucoup les graphismes, il fonctionne très bien et fais quand même un peu peur (trop pour moi mais j'ai un niveau de tolérance à la peur trop faible). Le jeu est assez intuitif.",207827630,0.5,76561199507788392
2025-10-28,2025-10-28,english,"I had an awesome time playing Pizza Deathlivery! It’s a great little game in the style of Lethal Company, REPO, etc. It's made by a small studio and they really nailed it. My friends and I had a blast delivering pizzas in the most ridiculous, intense and chaotic situations. The game offers a good amount of challenge that ramps up nicely as you play. Definitely worth checking out if you enjoy co-op chaos!",true,0,0,0,false,true,120,1,158,158,1761688784,positive,0.95,Fun co-op game with chaotic pizza delivery challenges.,"Pizza Deathlivery is a chaotic and fun co-op game that offers intense challenges, perfect for playing with friends.","[""Pizza Deathlivery"", ""co-op"", ""chaos"", ""challenge"", ""small studio"", ""intense"", ""gameplay""]","[""multiplayer gaming"", ""indie game development"", ""fun and enjoyment"", ""game mechanics"", ""challenge and difficulty""]","[""Awesome gameplay experience"", ""Great game in the style of Lethal Company and REPO"", ""Developed by a small studio that executed well"", ""Fun and chaotic multiplayer experience"", ""Good amount of challenge that increases as you play"", ""Recommended for fans of co-op chaos""]",[],"{""gameplay"": 1.0, ""controls"": 1.0, ""performance"": 1.0, ""bugs"": 0.0, ""graphics"": 1.0, ""sound"": 1.0, ""value"": 1.0, ""multiplayer"": 1.0}",[],en,"My friends and I had a blast delivering pizzas in the most ridiculous, intense and chaotic situations.",0,false,false,false,1,false,none,,false,[],The review is positive and does not contain any specific feature requests. It highlights the game's enjoyable aspects and recommends it for fans of co-op chaos.,none,régulier,promoter,joy,true,"I had an awesome time playing Pizza Deathlivery! It’s a great little game in the style of Lethal Company, REPO, etc. It's made by a small studio and they really nailed it. My friends and I had a blast delivering pizzas in the most ridiculous, intense and chaotic situations. The game offers a good amount of challenge that ramps up nicely as you play. Definitely worth checking out if you enjoy co-op chaos !",207827623,0.5,76561198030226357
2025-10-28,2025-10-28,turkish,"Brother, don't make games.",false,0,0,0,true,false,795,165,31,31,1761676980,negative,0.9,Negative sentiment towards game development skills.,"The reviewer expresses a strong negative opinion about the game's quality, suggesting the developer should not make games.","[""games"", ""brother"", ""make"", ""don't""]","[""game development"", ""criticism"", ""personal opinion"", ""creativity"", ""advice""]",[],"[""The game is poorly made."", ""The developer should not create games.""]","{""gameplay"": -1.0, ""controls"": -1.0, ""performance"": -1.0, ""bugs"": -1.0, ""graphics"": -1.0, ""story"": -1.0, ""sound"": -1.0, ""value"": -1.0}",[],tr,"Brother, don't make games.",0.2,true,false,false,0.5,false,none,,false,[],Consider focusing on enhancing existing gameplay mechanics instead of creating new games.,none,novice,detractor,disappointment,false,Kardeşim siz oyun yapmayın,207812010,0.5,76561198273577254
